"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -2.977811602,      -2.589652756,      -2.657564141,      -7.536199836
          0,           0,          77,      -2.971924378,      -2.585798535,       -2.65533148,       -7.53479184
          0,           0,          78,       -2.96763377,      -2.582045583,      -2.649425767,       -7.53421686
          0,           0,          79,      -2.965175673,      -2.578500974,      -2.639414042,      -7.534633852
          0,           0,          80,      -2.964881569,      -2.575281499,      -2.625036416,      -7.536214139
          0,           0,          81,      -2.967007923,      -2.572480631,      -2.606405916,      -7.539103905
          0,           0,          82,      -2.971891624,      -2.570180278,      -2.583998964,      -7.543411084
          0,           0,          83,      -2.979708758,      -2.568426761,      -2.558958492,      -7.549211929
          0,           0,          84,      -2.990803932,      -2.567290456,      -2.532409383,      -7.556553274
          0,           0,          85,      -3.005453986,      -2.566856558,      -2.505346932,      -7.565361813
          0,           0,          86,      -3.024095848,      -2.567182593,      -2.478721038,      -7.575475521
          0,           0,          87,      -3.047024683,      -2.568277732,      -2.453262936,      -7.586579657
          0,           0,          88,      -3.074539202,      -2.570132381,       -2.42953911,      -7.598261663
          0,           0,          89,      -3.106763284,       -2.57271998,      -2.408100534,      -7.609945625
          0,           0,          90,      -3.143417557,      -2.575915671,       -2.38951347,      -7.620888413
          0,           0,          91,      -3.183725079,      -2.579655228,       -2.37417733,      -7.630299721
          0,           0,          92,      -3.226125233,      -2.583897417,      -2.362077293,      -7.637397035
          0,           0,          93,      -3.267421769,      -2.588577595,      -2.352999412,      -7.641600899
          0,           0,          94,      -3.301861866,      -2.593563659,      -2.347031435,      -7.642496687
          0,           0,          95,      -3.322136379,      -2.598701567,      -2.344723418,       -7.64003923
          0,           0,          96,       -3.32314582,      -2.603865935,      -2.345901238,      -7.634536723
          0,           0,          97,      -3.305631033,      -2.608961488,      -2.350768974,       -7.62665852
          0,           0,          98,      -3.274942964,       -2.61387424,      -2.359254883,      -7.617180256
          0,           0,          99,      -3.237939597,      -2.618467278,       -2.37151267,      -7.606912371
          0,           0,         100,      -3.200171474,      -2.622721331,      -2.387432325,      -7.596630125
          0,           0,         101,      -3.165021035,      -2.626580636,      -2.406944717,      -7.586960013
          0,           0,         102,      -3.134190582,      -2.630029262,       -2.42974749,      -7.578371668
          0,           0,         103,      -3.108368804,      -2.633107426,      -2.455469768,      -7.571178323
          0,           0,         104,      -3.087681256,      -2.635855017,      -2.483385329,      -7.565554087
          0,           0,         105,       -3.07190902,       -2.63827628,      -2.512536991,       -7.56153732
          0,           0,         106,      -3.060905031,      -2.640415415,      -2.541731861,      -7.559122385
          0,           0,         107,      -3.054143893,      -2.642248034,      -2.569277526,      -7.558225422
          0,           0,         108,      -3.051517437,      -2.643851979,       -2.59342974,      -7.558680546
          0,           0,         109,      -3.052627262,      -2.645212542,      -2.612623632,      -7.560322228
          0,           0,         110,      -3.057017053,      -2.646324761,      -2.625902429,      -7.562936835
          0,           0,         111,      -3.064360322,      -2.647247089,       -2.63299376,      -7.566270839
          0,           0,         112,      -3.074360229,      -2.647975503,      -2.634489066,      -7.570104426
          0,           0,         113,      -3.086691945,      -2.648567178,      -2.631912588,      -7.574235239
          0,           0,         114,      -3.100829625,      -2.649037033,      -2.626950188,      -7.578467659
          0,           0,         115,      -3.116345836,       -2.64943081,      -2.621235347,      -7.582654816
          0,           0,         116,       -3.13289618,      -2.649827211,      -2.615908924,      -7.586691593
          0,           0,         117,       -3.15001329,      -2.650276666,      -2.611611173,      -7.590533763
          0,           0,         118,      -3.167270311,      -2.650751945,      -2.608700489,      -7.594153013
          0,           0,         119,      -3.184321775,      -2.651270307,      -2.607388278,      -7.597560326
          0,           0,         120,      -3.200924972,       -2.65183865,      -2.607760298,      -7.600817586
          0,           0,         121,      -3.216880751,      -2.652493128,      -2.609756527,      -7.604008112
          0,           0,         122,      -3.232014277,      -2.653202164,       -2.61316843,      -7.607224554
          0,           0,         123,      -3.246332593,      -2.653913411,      -2.617677531,      -7.610500567
          0,           0,         124,      -3.259870637,      -2.654629578,      -2.622996884,      -7.613908373
          0,           0,         125,      -3.272688799,      -2.655328502,      -2.628872127,      -7.617471832
          0,           0,         126,      -3.284882261,      -2.656022365,      -2.635061576,      -7.621227631
          0,           0,         127,      -3.296512261,      -2.656705224,      -2.641422849,      -7.625229838
          0,           0,         128,      -3.307649851,      -2.657300059,      -2.647900642,      -7.629491219
          0,           0,         129,       -3.31843179,      -2.657801302,      -2.654293282,      -7.634013191
          0,           0,         130,      -3.328899112,      -2.658244308,      -2.660549209,      -7.638809543
          0,           0,         131,      -3.339083751,      -2.658641123,      -2.666722915,      -7.643877323
          0,           0,         132,      -3.349018901,      -2.658998508,      -2.672744447,      -7.649246952
          0,           0,         133,      -3.358709237,      -2.659335283,      -2.678571633,      -7.654909713
          0,           0,         134,      -3.368221371,      -2.659652403,      -2.684117882,      -7.660878991
          0,           0,         135,      -3.377536533,      -2.659999074,      -2.689347865,      -7.667163174
          0,           0,         136,      -3.386659443,      -2.660353465,      -2.694246355,      -7.673744804
          0,           0,         137,      -3.395569484,      -2.660733615,      -2.698799346,      -7.680616077
          0,           0,         138,      -3.404287436,      -2.661156896,      -2.702959737,      -7.687774767
          0,           0,         139,      -3.412796696,      -2.661656384,       -2.70680197,      -7.695230987
