"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          66,       -1.64191872,       1.415200263,      0.5809788784,       4.048266109,      -5.497514806
          0,           0,          67,      -1.624427911,        1.43015486,      0.5896804561,        4.06622896,      -5.494600305
          0,           0,          68,      -1.750055548,       1.384466515,      0.5996419775,       3.946395023,      -5.491405797
          0,           0,          69,      -1.740200701,       1.382123434,      0.5983841646,       3.943027834,      -5.488808072
          0,           0,          70,      -1.725792448,       1.381933283,      0.6002804578,       3.946199487,      -5.486632544
          0,           0,          71,      -1.713123201,       1.383726123,      0.6063207035,       3.952288819,      -5.484733952
          0,           0,          72,      -1.704119059,       1.387338783,      0.6154132064,        3.95925608,      -5.482972133
          0,           0,          73,      -1.697690693,       1.392547254,      0.6252189517,       3.966859593,      -5.481275427
          0,           0,          74,      -1.691912729,       1.399202241,      0.6339227293,       3.975585399,      -5.479664738
          0,           0,          75,      -1.684407345,        1.40755777,      0.6406009932,       3.986582359,      -5.478232944
          0,           0,          76,       -1.67452238,       1.417369447,      0.6457500643,       3.999948857,      -5.477127471
          0,           0,          77,      -1.662118955,       1.428631072,       0.650235997,       4.015613551,      -5.476521058
          0,           0,          78,      -1.647686565,       1.441902382,      0.6549096943,       4.033443746,      -5.476602344
          0,           0,          79,      -1.631039829,        1.45688824,      0.6610233114,        4.05334826,      -5.477421686
          0,           0,          80,      -1.611520846,       1.473448695,      0.6700564666,       4.075577837,      -5.478923628
          0,           0,          81,      -1.588985325,       1.491695618,      0.6826886275,       4.100116665,      -5.481025894
          0,           0,          82,      -1.563494787,       1.511820952,      0.6988514216,       4.126883973,      -5.483614559
          0,           0,          83,       -1.53504762,       1.534509532,       0.718013504,       4.156012665,      -5.486574022
          0,           0,          84,      -1.503719823,       1.559461122,      0.7396175137,       4.187339535,      -5.489698905
          0,           0,          85,      -1.469416634,       1.586737088,      0.7632644899,       4.220955851,      -5.492733893
          0,           0,          86,      -1.431820234,       1.616748868,      0.7886748681,       4.257200995,      -5.495389145
          0,           0,          87,      -1.390559062,       1.649926041,      0.8158519989,       4.296460635,      -5.497331419
          0,           0,          88,      -1.377750088,       1.661266598,      0.8240698726,        4.28809735,      -5.496423746
          0,           0,          89,      -1.328529465,       1.692066448,      0.8373795582,       4.323374851,      -5.494449314
          0,           0,          90,      -1.267069216,       1.732700076,      0.8526799043,       4.371242272,      -5.490740006
          0,           0,          91,      -1.205767628,       1.773422479,       0.871085116,       4.420208289,        -5.4842083
          0,           0,          92,      -1.148657073,       1.813925073,      0.8942749146,       4.466965304,      -5.477804746
          0,           0,          93,     -0.9786506166,       1.943949452,      0.9228820248,       4.698195558,      -5.509132521
          0,           0,          94,      -1.055502502,        1.89592501,      0.9582925266,       4.552921547,      -5.493897636
          0,           0,          95,     -0.9976988104,       1.945972506,      0.9964118712,       4.599457574,      -5.491127401
          0,           0,          96,     -0.9533410548,       1.980725895,       1.032417254,       4.635035755,      -5.479483056
          0,           0,          97,     -0.9277796413,       2.002021764,        1.06834017,       4.655018263,      -5.470410615
          0,           0,          98,     -0.8225561584,       2.106348695,        1.10574812,       4.841551923,      -5.506375618
          0,           0,          99,     -0.8349646859,       2.098261501,       1.148925037,       4.744405978,      -5.490059068
          0,           0,         100,     -0.8153675314,       2.117675535,       1.195779553,       4.756010602,      -5.475092249
          0,           0,         101,     -0.8049521359,       2.130486833,       1.238901303,        4.75982961,      -5.462808243
          0,           0,         102,     -0.7898949002,       2.148844594,       1.279059892,       4.768295695,      -5.453856657
          0,           0,         103,      -0.764752321,       2.175140807,       1.314544029,       4.787076175,      -5.442455395
          0,           0,         104,     -0.7303490457,       2.207936882,         1.3447257,       4.815941715,      -5.421309593
          0,           0,         105,     -0.6901243152,       2.244508817,       1.369802214,       4.851631871,      -5.388290706
          0,           0,         106,     -0.6464248262,       2.283518876,       1.390466631,       4.891445004,      -5.345768946
          0,           0,         107,      -0.597008079,       2.328408351,        1.40982909,       4.937285223,      -5.300076816
          0,           0,         108,     -0.5418419629,       2.380271962,        1.42989399,       4.988985323,      -5.253593164
          0,           0,         109,     -0.3891645513,       2.529757943,       1.444114184,       5.270518372,      -5.202422026
          0,           0,         110,     -0.3730152779,       2.543721789,       1.516719819,       5.156043441,      -5.172194662
          0,           0,         111,     -0.3088669244,       2.620441238,        1.54497274,       5.261200887,      -5.125132098
          0,           0,         112,     -0.2626176735,       2.649152491,       1.614599484,        5.25910763,      -5.087598515
          0,           0,         113,     -0.2861131619,       2.637749892,       1.617598166,       5.244621201,       -5.03625263
          0,           0,         114,     -0.2940623443,       2.608968096,       1.639899263,       5.257781907,      -4.993998721
          0,           0,         115,     -0.3353412826,       2.568394474,       1.619905833,       5.225671987,      -4.948286473
          0,           0,         116,     -0.3787678506,       2.533326895,       1.615339602,       5.145231397,      -4.899324015
          0,           0,         117,     -0.3770001967,       2.519005598,       1.635298985,       5.123891956,      -4.849042048
          0,           0,         118,     -0.3794977327,        2.50216521,       1.673761961,       5.116926487,      -4.799858192
          0,           0,         119,     -0.3820631516,       2.494627402,       1.710542341,       5.091008877,      -4.756722349
          0,           0,         120,     -0.3782236738,        2.50080281,       1.748984917,       5.075396287,      -4.717781191
          0,           0,         121,     -0.3685834168,       2.510578795,       1.778989288,       5.075747167,      -4.681883998
          0,           0,         122,     -0.3586188835,       2.517499197,       1.798740227,        5.08675484,      -4.651257618
          0,           0,         123,     -0.3537942299,       2.512141216,       1.798343573,       5.096810051,      -4.623638098
          0,           0,         124,     -0.3589255661,       2.498058474,        1.79642232,       5.097840145,      -4.599220272
          0,           0,         125,      -0.368678318,       2.482821649,       1.797565426,       5.094760143,      -4.578756818
          0,           0,         126,     -0.3810050184,       2.467249814,        1.80423236,       5.088572546,      -4.557946503
          0,           0,         127,     -0.3950691712,       2.450618991,       1.814765432,        5.07860196,      -4.538422696
          0,           0,         128,     -0.4074883828,       2.435184415,       1.829143458,       5.068371901,      -4.520445812
          0,           0,         129,      -0.415769663,       2.421143172,        1.84706778,        5.05445165,      -4.500731816
          0,           0,         130,     -0.4148308995,       2.416232887,       1.867647852,       5.052083231,      -4.481657164
          0,           0,         131,     -0.4029812556,       2.423413643,        1.89072344,       5.060430222,      -4.465113652
          0,           0,         132,     -0.3796342814,        2.44339842,        1.91211067,       5.081554925,      -4.446661757
          0,           0,         133,     -0.3491242514,       2.472481389,       1.932926836,       5.110682559,      -4.429975372
          0,           0,         134,     -0.3157486022,         2.5070084,       1.951386841,       5.143887402,       -4.41581393
          0,           0,         135,       -0.28573952,       2.536619527,       1.972007347,       5.174014214,       -4.40449429
          0,           0,         136,     -0.2641687455,       2.553441979,       1.986302752,       5.194202006,      -4.393276745
          0,           0,         137,     -0.2529915494,       2.552205704,       2.001715596,       5.200076646,      -4.386204657
